城市ID,城市名,城市名（英文）,国家,国家CODE
SP91FD79GFQU,安道尔,Andorra la Vella,安道尔,AD
THM3PVJHX1G2,Ar Ruways,Ar Ruways,阿联酋,AE
THQEJNH8EJWT,阿布扎比,Abu Dhabi,阿联酋,AE
THR9SGGWEJYQ,艾因,Al Ain,阿联酋,AE
THRRDQPEMRVW,迪拜,Dubai,阿联酋,AE
THRXZEE9YZJZ,Adh Dhayd,Adh Dhayd,阿联酋,AE
THX2K8PMN3P2,夏尔迦,Sharjah,阿联酋,AE
THX2T3YW6N1Z,Ajman,Ajman,阿联酋,AE
THX92JYJ35PD,Umm al-Quwain,Umm al-Quwain,阿联酋,AE
THXF9NBDGHBD,Ras al-Khaimah,Ras al-Khaimah,阿联酋,AE
TK2NFH69DJCX,富查伊拉,Fujairah,阿联酋,AE
TK80456VXS33,Khor'fakkan,Khor'fakkan,阿联酋,AE
TK818XBSTY7W,Dibba Al-Hisn,Dibba Al-Hisn,阿联酋,AE
TMSEKGDWVG58,哈什,Khash,阿富汗,AF
TMTG8Z3ZR71E,拉什卡尔加,Lashkar Gah,阿富汗,AF
TMTVJ2F6P7C4,格里什克,Gereshk,阿富汗,AF
TMU0JMXG0W3N,法拉,Farah,阿富汗,AF
TMUJ3V21PP50,Kushk,Kushk,阿富汗,AF
TMUJQNW7EMUP,Shindand,Shindand,阿富汗,AF
TMWEZ708UVZ3,坎大哈,Kandahar,阿富汗,AF
TQ5MJWGKH809,Kafir Qala,Kafir Qala,阿富汗,AF
TQH5RKUKT74V,赫拉特,Herat,阿富汗,AF
TQHS0JJFY7P8,Karukh,Karukh,阿富汗,AF
TQJDP319GSRW,Shahrak,Shahrak,阿富汗,AF
TQM772T1GNW8,Ghormach,Ghormach,阿富汗,AF
TQPFUMZ4XYZE,Cool urhajo,Cool urhajo,阿富汗,AF
TQQH65MCR2WE,梅马内,Maymana,阿富汗,AF
TQQYH2FD4R1S,Sar-e Pul,Sar-e Pul,阿富汗,AF
TQR5ZY1ZUBPJ,Sang-e Charak,Sang-e Charak,阿富汗,AF
TQW61ZJDMT2J,安德胡伊,Andkhoy,阿富汗,AF
TQWB85PU1D55,Shibirghan,Shibirghan,阿富汗,AF
TQWUYGG6WZTC,卡尔金,Qarqin,阿富汗,AF
TQX8Z4STST7T,马扎里沙里夫,Mazar-i-Sharif,阿富汗,AF
TQX947313B3N,巴尔赫,Balkh,阿富汗,AF
TTBWVH4ZWH9C,加兹尼,Ghazni,阿富汗,AF
TTCPPK0Z2BSD,加德兹,Gardez,阿富汗,AF
TTCTXJ62XXKX,霍斯特,Khost,阿富汗,AF
TW110ZWG50B2,Baraki Barak,Baraki Barak,阿富汗,AF
TW1HC06QC1DN,帕格曼,Paghman,阿富汗,AF
TW1HQJ9UBJVY,喀布尔,Kabul,阿富汗,AF
TW1PNN1144HM,恰里卡尔,Charikar,阿富汗,AF
